[13:17:59] Test # 51 | Scale:  50% | Res:  540x 960 | ABS:  53.5ms | Adj:  -46.2ms | Bytes:  109671
[13:17:59] Test # 52 | Scale:  50% | Res:  540x 960 | ABS:  39.0ms | Adj:  -39.9ms | Bytes:  110503
[13:17:59] Test # 53 | Scale:  50% | Res:  540x 960 | ABS:  38.5ms | Adj:  -41.8ms | Bytes:  111687
[13:17:59] Test # 54 | Scale:  50% | Res:  540x 960 | ABS:  38.5ms | Adj:  -49.6ms | Bytes:  110571
[13:17:59] Test # 55 | Scale:  50% | Res:  540x 960 | ABS:  39.5ms | Adj:   41.8ms | Bytes:  111437
[13:17:59] Test # 56 | Scale:  50% | Res:  540x 960 | ABS:  46.5ms | Adj:   38.0ms | Bytes:  110327
[13:17:59] Test # 57 | Scale:  50% | Res:  540x 960 | ABS:  46.5ms | Adj:   43.0ms | Bytes:  110476
[13:18:00] Test # 58 | Scale:  50% | Res:  540x 960 | ABS:  77.5ms | Adj:   30.0ms | Bytes:  110349
[13:18:00] Test # 59 | Scale:  50% | Res:  540x 960 | ABS:  82.5ms | Adj:   14.5ms | Bytes:  110813
[13:18:00] Test # 60 | Scale:  50% | Res:  540x 960 | ABS:  78.5ms | Adj:  -11.9ms | Bytes:  111028
[13:18:00] Test # 61 | Scale:  40% | Res:  432x 768 | ABS:  81.5ms | Adj:   -9.1ms | Bytes:  110773
[13:18:00] Test # 62 | Scale:  40% | Res:  432x 768 | ABS:  55.5ms | Adj:  -33.6ms | Bytes:  111556
[13:18:00] Test # 63 | Scale:  40% | Res:  432x 768 | ABS:  54.0ms | Adj:   22.8ms | Bytes:  112141
[13:18:00] Test # 64 | Scale:  40% | Res:  432x 768 | ABS:  43.0ms | Adj:  -23.2ms | Bytes:  109934
[13:18:00] Test # 65 | Scale:  40% | Res:  432x 768 | ABS:  43.0ms | Adj:  -28.9ms | Bytes:  112300
[13:18:00] Test # 66 | Scale:  40% | Res:  432x 768 | ABS:  53.0ms | Adj:  -37.8ms | Bytes:  111367
[13:18:00] Test # 67 | Scale:  40% | Res:  432x 768 | ABS:  45.0ms | Adj:  -27.3ms | Bytes:  111637
[13:18:00] Test # 68 | Scale:  40% | Res:  432x 768 | ABS:  45.5ms | Adj:  -11.6ms | Bytes:  111310
[13:18:00] Test # 69 | Scale:  40% | Res:  432x 768 | ABS:  56.5ms | Adj:  -33.0ms | Bytes:  112463
[13:18:00] Test # 70 | Scale:  40% | Res:  432x 768 | ABS:  52.5ms | Adj:  -30.2ms | Bytes:  111285
[13:18:00] Test # 71 | Scale:  30% | Res:  324x 576 | ABS:  43.5ms | Adj:  -45.6ms | Bytes:  110169
[13:18:01] Test # 72 | Scale:  30% | Res:  324x 576 | ABS:  44.0ms | Adj:  -24.7ms | Bytes:  110906
[13:18:01] Test # 73 | Scale:  30% | Res:  324x 576 | ABS:  44.5ms | Adj:  -26.1ms | Bytes:  111374
[13:18:01] Test # 74 | Scale:  30% | Res:  324x 576 | ABS:  58.5ms | Adj:  -54.7ms | Bytes:  112020
[13:18:01] Test # 75 | Scale:  30% | Res:  324x 576 | ABS:  54.0ms | Adj:  -18.1ms | Bytes:  112368
[13:18:01] Test # 76 | Scale:  30% | Res:  324x 576 | ABS:  39.0ms | Adj:  -66.6ms | Bytes:  112575
[13:18:01] Test # 77 | Scale:  30% | Res:  324x 576 | ABS:  25.5ms | Adj:  -65.2ms | Bytes:  111641
[13:18:01] Test # 78 | Scale:  30% | Res:  324x 576 | ABS:  25.5ms | Adj:  -25.2ms | Bytes:  112261
[13:18:01] Test # 79 | Scale:  30% | Res:  324x 576 | ABS:  39.0ms | Adj:  -50.7ms | Bytes:  112289
[13:18:01] Test # 80 | Scale:  30% | Res:  324x 576 | ABS:  51.0ms | Adj:  -42.7ms | Bytes:  111419
[13:18:01] Test # 81 | Scale:  20% | Res:  216x 384 | ABS:  41.0ms | Adj:  -19.3ms | Bytes:  111045
[13:18:01] Test # 82 | Scale:  20% | Res:  216x 384 | ABS:  45.0ms | Adj:  -18.9ms | Bytes:  111602
[13:18:01] Test # 83 | Scale:  20% | Res:  216x 384 | ABS:  61.5ms | Adj:  -36.4ms | Bytes:  110796
[13:18:01] Test # 84 | Scale:  20% | Res:  216x 384 | ABS:  61.5ms | Adj:  -10.5ms | Bytes:  113239
[13:18:02] Test # 85 | Scale:  20% | Res:  216x 384 | ABS:  44.0ms | Adj:  102.9ms | Bytes:  112702
[13:18:02] Test # 86 | Scale:  20% | Res:  216x 384 | ABS:  44.0ms | Adj:  193.4ms | Bytes:  112746
[13:18:02] Test # 87 | Scale:  20% | Res:  216x 384 | ABS:  76.5ms | Adj:  209.4ms | Bytes:  112061
[13:18:02] Test # 88 | Scale:  20% | Res:  216x 384 | ABS:  76.5ms | Adj:  194.1ms | Bytes:  112266
[13:18:02] Test # 89 | Scale:  20% | Res:  216x 384 | ABS: 129.5ms | Adj:  197.9ms | Bytes:  111594
[13:18:02] Test # 90 | Scale:  20% | Res:  216x 384 | ABS: 129.5ms | Adj:  168.8ms | Bytes:  109332
[13:18:02] Test # 91 | Scale:  10% | Res:  108x 192 | ABS: 159.5ms | Adj:  129.3ms | Bytes:  110026
[13:18:02] Test # 92 | Scale:  10% | Res:  108x 192 | ABS: 167.5ms | Adj:  108.2ms | Bytes:  109944
[13:18:02] Test # 93 | Scale:  10% | Res:  108x 192 | ABS: 164.5ms | Adj:   66.8ms | Bytes:  110334
[13:18:02] Test # 94 | Scale:  10% | Res:  108x 192 | ABS: 159.5ms | Adj:   74.9ms | Bytes:  107849
[13:18:02] Test # 95 | Scale:  10% | Res:  108x 192 | ABS: 119.5ms | Adj:  105.9ms | Bytes:  105275
[13:18:03] Test # 96 | Scale:  10% | Res:  108x 192 | ABS: 120.0ms | Adj:  148.1ms | Bytes:  100687
[13:18:03] Test # 97 | Scale:  10% | Res:  108x 192 | ABS: 116.0ms | Adj:  158.4ms | Bytes:  107578
[13:18:03] Test # 98 | Scale:  10% | Res:  108x 192 | ABS: 115.5ms | Adj:  109.1ms | Bytes:  110099
[13:18:03] Test # 99 | Scale:  10% | Res:  108x 192 | ABS: 116.0ms | Adj:   94.0ms | Bytes:  108643
[13:18:03] Test #100 | Scale:  10% | Res:  108x 192 | ABS: 136.5ms | Adj:   65.0ms | Bytes:  109932
